pdf_file,provisions,statutes,precedents
Aarya_Shrivastava_vs_Ministry_Of_Environment_on_28_February_2022.PDF,"['Article 243-W of Constitution', 'Rule 22 of SWM Legacy Waste Bioremediation Commencement of Total Name Rules, 2016', 'Rule 4 of Wetland (Conservation and Management) Rules, 2017', 'Rule 4 of Wetland Rules, 2017', 'SCC 326 of SWM Legacy Waste Bioremediation Commencement of Total Name Rules, 2016']","['Act 14 of 1882', '1877 Act']","[SN Aarya Shrivastava vs Ministry Of Environment on 28 February, 2022 Indian Kanoon, Dr. Alankrita Mehra v. UOI, Subhash C. Pandey v. State of M.P., Tajul Masjid, Bhopal Aarya Shrivastava vs Ministry Of Environment, Samdhan Pathology and Diagnostic and Digital X-Ray Aarya Shrivastava vs Ministry Of Environment, Paryavaran Surakha Samiti vs. Union of India, (2017) 5, Sterlite Industries (India) Ltd. v. Union of India2]"
Amandeep_vs_State_Of_Himachal_Pradesh_Through_Its_on_30_July_2021.PDF,"['section 279,353 of Indian Penal Code', 'section 506 of Indian Penal Code', 'Chapter XIV of Indian Penal Code', 's 184 of Motor Vehicle Act', 'section 451 of Criminal Procedure Code', 'Section 451 of Criminal Procedure Code', 'section 19(15) of Himachal Pradesh Minor Minerals (Concession) and Minerals (Prevention of Illegal Mining, Transportation and Storage) Rules, 2015', 'section 34 (iv) of Himachal Pradesh Minor Minerals (Concession) and Minerals (Prevention of Illegal Mining, Transportation and Storage) Rules, 2015', 's 21 of mining act', 'rule 34(iv) of Himachal Pradesh Minor Minerals (Concession) and Minerals (Prevention of Illegal Mining, Transportation and Storage) Rules, 2015', 'rule 34 of Himachal Pradesh Minor Mineral (Concession)', 'Section 15 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010 (NGT Act)', 'Rule 19(5) of Himachal Pradesh Minor Minerals (Concession) and Minerals (Prevention of Illegal Mining, Transportation and Storage) Rules, 2015', 'rule 71 of Himachal Pradesh Minor Mineral (Concession)', 'section 33 of National Green Tribunal Act, 2010']","['Act 5 of 1908', 'Act VIII of 1859', 'Criminal Procedure Code', 'Air  Act, 1981']","[DV Amandeep vs State Of Himachal Pradesh, National Green Tribunal Bar Association V /s Virender Singh (State of Gujarat)]"
Amit_Kishore_And_Ors_vs_Uttar_Pradesh_Pollution_Control_Board_on_22_December_2023.PDF,"['section 196 of Indian Penal Code', 'section 195 and Chapter XXVI of Criminal Procedure Code', 'Section 19 of National Green Tribunal Act, 2010 (NGT Act', 'Section 19 of NGT Act', 'section 123 of Indian Evidence Act, 1872 (1 of 1872)', 'section 124 of Indian Evidence Act, 1872 (1 of 1872)', 'Section 19 of Code of Civil Procedure', 'Section 19(1) of NGT Act', 'Sub Section (4) of Section 19 of NGT Act', 'Section 123 of Indian Evidence Act, 1872 (1 of 1872', 'Section 124 of Indian Evidence Act, 1872 (1 of 1872', 'Section 14 of NGT Act, 2010', 'Section 15 of NGT Act, 2010', 'Section 135 of Indian Evidence Act, 1872', 'Order XVIII of C.P.C', 'Section 14 of NGT Act', 'Section 15 of NGT Act', 'Sector 15 of NGT Act, 2010', 'Schedule I; (k) of Indian Evidence Act, 1872 (1 of 1872)', 'section 193 of Indian Evidence Act, 1872 (1 of 1872)', 'section 219 of Indian Evidence Act, 1872 (1 of 1872)', 'section 228 of Indian Evidence Act, 1872 (1 of 1872)', 'Chapters XVIII, XX, XXI, XXII and XXVIII of C.P.C']","['Indian Evidence Act, 1872 (1 of 1872', 'Air Act', 'Air  Act, 1981']","[Amit Kishore And Ors vs Uttar Pradesh Pollution Control Board, Ors vs Uttar Pradesh Pollution Control Board on 22 December, 2023 Indian Kanoon, All Dimasa Students Union Dima Hasao District Committee Vs., Shramieevi Cooperative Housing Society Ltd. v. Dinesh Joshi & Ors., AIR 2023 SC 1558, All Dimasa Students Union Dima Hasao District Committee v. State of Meghalaya]"
Anil_Mehta_vs_State_Of_Rajasthan_on_31_July_2023.PDF,"['Section 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010', 'Section 20 of National Green Tribunal Act, 2010', 'Rule No. 4 (2) of Noise Pollution (Regulation and Control Amendments Rules, 2017', 'Rule No. 7 of Noise Pollution (Regulation and Control) Rules, 2000', 'G.S.R.682(E) of Environment (Protection) Rules, 1986', 'Schedule Note 3 of Noise Pollution Rules, 2000', 'Rule 4 of Wetland Rule 2017', 'Rule 4 of Wetlands (Conservation and Management) Rules, 2010', 'Rule 4 of Wetland Rules of 2017', 'Rule 4 of Wetland Rules 2017', 'Rule 2(c) of EP Act, 1986', 'proviso to Rules 3 (5) of Noise Pollution Rules, 2000']","['Environment  Rules, 1986', 'Noise Pollution  Rules, 2000', 'MSW Rules, 2016', 'National Green Tribunal Act, 2010', 'Noise Pollution (Regulation and Control Amendments Rules, 2017', 'Bio-Medical Waste Management Rules 2016', 'BMW Rules, 2016', 'Bengal Regulation III of 1793']","[Anil Mehta vs State Of Rajasthan on 31 July, 2023 Indian Kanoon]"
Aniruda_Panwar_vs_Ministry_Of_Environment_Forest_And_on_31_July_2023.PDF,"['section 18 (1) read with sections 14 of National Green Tribunal Act, 2010', 'section 15 of National Green Tribunal Act, 2010', 'section 18 of National Green Tribunal Act, 2010', 'section 14 of National Green Tribunal Act, 2010', 'Section-5 of Environment (Protection) Act 1986', 'Section 5 of Environment (Protection) Act, 1986', 'Section 16 (h) of National Green Tribunal Act, 2010', 'Schedule I of National Green Tribunal Act, 2010', 'Section 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010', 'Section 18 of National Green Tribunal Act, 2010', 'Guideline I of CBWTF Guidelines 2016', 'Rule 17 of Bio-Medical Waste Management Rules 2016', 'clause (d) of sub-rule (3) of rule 5 of Environment (Protection) Rules, 1986', 'Guideline 5 of CBWTF Guidelines 2016', 'Rule 25 of Water Act', 'Rule 21 of Air Act', 'SECTION 18(1)(b) of WATER (PREVENTION & CONTROL OF POLLUTION) ACT, 1974', 'Section 18(1)(b) of Water (Prevention & Control of Pollution) Act, 1974', 'Guideline 6(b) of Revised CPCB Guidelines 2020', 'para 7 (i) III stage 3 (1) (b) of EIA Notification 2006', 'Guideline 2 of CBWTF Guidelines 2016', 'Section 21 of Air (Prevention and Control of Pollution) Act, 1981', 'section 9 of Air (Prevention and Control of Pollution) Amendment Act, 1987 (47 of 1987)', 'Section 25 of Water (Prevention and Control of Pollution) Act, 1974', 'section 3 of Environment (Protection) Act, 1986', 'section 5 of Environment (Protection) Act, 1986 (29 of 1986)', 'Guideline 7 of CBWTF Guidelines 2016', 'Guideline 7 of Revised CPCB Guidelines 2020', 'Section 10 of UP Ground Water (Management and Regulations) Act 2019', 'Section 11 of UP Ground Water (Management and Regulations) Act 2019', 'Rule 5 of Bio Medical Waste Management Rules 2016', 'para 7(i) III stage (3)(i)(b) of EIA notification, 2006', 'category-7(da) of EIA Notification, 2006', 'section 129 to137 of Central Motor Vehicle Rules1989.', 'Section 16 of National Green Tribunal Act, 2010', 'section 18 (1) of National Green Tribunal Act, 2010', 'Section 18 (1) of National Green Tribunal Act, 2010', 'rule 5 of Environment (Protection) Rules, 1986', 'sub-section (3) of section 3 of Environment (Protection) Act, 1986', 'Entry 7(d) of Environment (Protection) Rules, 1986', 'Entry 7(da) of Environment (Protection) Rules, 1986', 'sub-rule(4) of rule 5 of Environment (Protection) Rules, 1986', 'clause(a) of sub-rule(3) of Environment (Protection) Rules, 1986', 'clauses (a) and (b) of sub-section (1) of section 25 of Water (Prevention and Control of Pollution) Act, 1974', 'Sub-clause (vi) of EIA Notification of EIA Notification 2006', 'Clause (vi) of paragraph 8 of Fabrication of Industrial Equipment (ETP/STP/WTP/C)', 'O.A No. 622/2022 of National Green Tribunal Act, 2010', 'O.A 622/2022 of National Green Tribunal Act, 2010', 'item 7(d) of Environment (Protection) Act, 1986 (29 of 1986)', 'Appendix II of EIA Notification 2006', 'Appendix VIII of EIA Notification 2006', 'item 8 of the Schedule of EIA Notification 2006', 'EC 56 of CBWTF Guidelines 2016', 'sections 27 and 30,-- of Water (Prevention and Control of Pollution) Amendment Act, 1988 (53 of 1988)']","['CPC, 1908', 'Revised CPCB Guidelines 2020', 'CPC of 1908', 'CPC 1877', 'C.P.C.', 'Water  Act, 1974', 'National Green Tribunal Act, 2010', 'Bombay Provincial Municipal Corporation Act, 1949', 'Solid Waste Management Rules, 2016', 'CPC', 'WATER  ACT, 1974']","[UT Aniruda Panwar vs Ministry Of Environment Forest, Aniruda Panwar Vs. MoEF & CC. 2), O.A No. 622/2022 Aniruda Panwar Vs. MoEF & CC, Common Bio-Medical Waste Management Aniruda Panwar vs Ministry Of Environment Forest, Hanuman Laxman Aroskar vs. Union of India, (2019), Shreeranganathan K P vs. Union of India 2014, State of NCT of Delhi v. Sanjeev, reported in (2005) 5 SCC 181, v. Missu Naseem &Anr v/s St. of Andhra Pradesh &Ors, Chandramani Kanhar v/s State of Odisha (BLAPL No.4576 of 2020, Aniruda Panwar Vs. MoEF & CC. H. UPSIDA, Etah Aniruda Panwar vs Ministry Of Environment Forest]"
Aryavart_Foundation_vs_M_S_Ria_Cetp_Co_Op_Society_Ltd_on_31_March_2023.PDF,"['Section 33A of Water (Prevention and Control of Pollution) Act, 1974', 'Section 33(A) of Water (Prevention and Control of Pollution) Act, 1974']","['CPC, 1908']",[Aryavart Foundation vs M/S Ria Cetp Co.]
Ashir_Jaihind_vs_State_Of_Maharashtra_on_31_October_2022.PDF,"['Schedule I of National Green Tribunal Act, 2010']",['CPCB'],"[AG Ashir Jaihind vs State Of Maharashtra on 31 October, 2022 Indian Kanoon, Commissioner Municipal Corporation & District Magistrate, Aurangabad Ashir Jaihind vs State Of Maharashtra]"
Ashok_Kumar_Malik_vs_Govt_Of_Nct_Of_Delhi_on_30_August_2022.PDF,"['First Schedule of National Green Tribunal Act, 2010', 's 5 of EP Act, 1986', 'Section 31A of Air Act, 1981', 'Section 33A of Water Act, 1974', 'Section 5 of Environment (Protection) Act, 1986']",['CPCB'],"[Ashok Kumar Malik vs Govt. Of Nct Of Delhi, President, Budhela Welfare Association Vs., President, Budhela Welfare Association Versus Govt, M.C. Mehta vs. Union of India reported in (2009) 17 SCC O. A. No. 392/2021]"
Bibhindra_Beura_vs_State_Of_Odisha_on_12_June_2023.PDF,['entry 5(ga) of EIA'],['CRZ Notification 2011'],[Bibhindra Beura vs State Of Odisha]
Bidhu_Bhusan_Harichandan_vs_Dist_Collector_Khurda_on_24_December_2021.PDF,"['Section 21 of Mines and Minerals (Development and Regulation) Act, 1957', 'Section 3 of Prevention of Money Laundering Act (PMLA), 2002']","['CRZ Notification 2011', 'Mines and Minerals  Act, 1957']",[AVT Bidhu Bhusan Harichandan vs Dist Collector Khurda]
