file_name,summary,court,petitioners,respondents,judges,date,org,gpe,provisions,statutes,precedents,key_facts,type_of_case,decision
8_vs_Wood_Craft_Products_1995_on_21_February_2015.PDF,"Case overview
The case involves an appeal by M/s. Parisons Foods Pvt. Ltd. against a Clarification Order issued under Section 94 of the Kerala Value Added Tax Act, 2003 (KVAT Act). The appellant sought clarification on the tax rate applicable to 'bakery shortening', which they argued should be taxed at 5% under Entry 38 of the Third Schedule of the KVAT Act. The Department contended that 'bakery shortening' did not fall under Entry 38 and should be taxed at a higher rate under a residual entry.

Key facts
- The appellant is engaged in the manufacture of 'bakery shortening'.
- The Department argued that 'bakery shortening' is not covered under the specific Harmonised System of Nomenclature (HSN) Code for Entry 38(18)(d), which includes 'vanaspati'.
- The Clarification Authority determined that 'bakery shortening' is subject to a tax rate of 12.5/13.5/14.5% under the residual entry of S.R.O. No. 82/2006.

Legal issues and arguments
- The appellant argued that 'bakery shortening' falls under HSN Code 1516, specifically under sub-heading 1516.20.91, which is classified as 'vanaspati', and should be taxed at 5%.
- The appellant contended that the Clarification Authority relied on a judgment that ignored a contrary decision from a co-ordinate Bench of the same Tribunal.
- The appellant cited definitions from the Food Safety and Standards Act, 2006 (FSS Act) to argue that 'bakery shortening' is essentially 'vanaspati'.
- The Government Pleader argued that 'bakery shortening' is a product derived from further preparation of 'vanaspati', thus classifying it under HSN Code 1517, which pertains to mixtures or preparations of fats and oils.

Court's reasoning
- The court examined the definitions of 'vanaspati' and 'bakery shortening' under the FSS Regulations and the Vegetable Oil Products Regulation Order, noting that they are defined separately.
- The court emphasized that the HSN codes must be interpreted based on the specific descriptions provided in the KVAT Act and the Customs Tariff Act.
- The court found that 'bakery shortening' undergoes a preparation process that takes it out of the classification under HSN Code 1516 and places it under HSN Code 1517.
- The court referenced the manufacturing process of 'bakery shortening', which involves blending and further preparation, indicating it does not retain the characteristics of 'vanaspati'.
- The court concluded that the inclusion of 'vanaspati' in the entry does not extend to products derived from it through further preparation.

Decision or judgment
The court upheld the order of the Clarification Authority, concluding that 'bakery shortening' does not fall under Entry 38(18)(d) of the KVAT Act and is subject to taxation under the residual entry. The appeal was dismissed with no costs.",High Court of Kerala,['M/S.PARISONS FOODS PVT. LTD.'],['JOINT COMMISSIONER OF COMMERCIAL TAXES'],"['K.Vinod Chandran', 'Ashok Menon']",18-01-2018,[],"['Kerala', 'Thiruvananthapuram', 'Calicut']","['Section 94 of Kerala Value Added Tax Act, 2003']","['Kerala Value Added Tax Act, 2003', 'Food Safety and Standards Act, 2006', 'Customs Tariff Act, 1975']","['M.P. Agencies v. State of Kerala - 2015 (7) SCC 102', 'Garware Nylons Limited - 1996 (87) ELT 12 (SC)', 'Reckitt Benckiser (India) Ltd. v. Commissioner, Commercial Taxes - 2015 (7) SCC 126', 'M/s. Shree Gopal Vanaspati Ltd. v. C.C.(ICD), New Delhi - 2014 (4) ECS (224) (Tri-Del.)', 'M/s.Adani Wilmar Limited v. Commissioner of Customs, Kandla [Appeal No.C/1115 of 2006]']","The case involves a dispute over the tax classification of 'bakery shortening' under the Kerala Value Added Tax Act. The appellant contends that it should be taxed at 5% under Entry 38 of the Third Schedule, while the Department argues it should be taxed at a higher rate under a residual entry. The court examines definitions under the Food Safety and Standards Act and the Customs Tariff Act to determine the correct classification.",Other Tax Appeal,in favour of respondent
Adab_vs_State_Of_U_P_And_4_Others_on_9_May_2023.PDF,"Case overview
- The case is titled Adab vs State Of U.P. And 4 Others, decided on 9 May 2023 by the High Court of Judicature at Allahabad, presided over by Hon'ble Prakash Padia.
- The petition was filed under Article 227 of the Constitution of India.

Key facts
- The petitioner, Adab, challenged an order dated 27 April 2022 from the In-charge District Judge Moradabad regarding Civil Appeal No. 51 of 2022.
- The District Judge had admitted the appeal and granted conditional stay, requiring the petitioner to deposit 50% of a fine within one month.
- The petitioner argued that the Additional District Magistrate had imposed an excessive fine of Rs. 3,00,000 on 7 August 2021 without considering the petitioner's objections.

Legal issues and arguments
- The petitioner sought to expedite the appeal process and requested a reduction in the amount required for the deposit.
- The petitioner referenced a similar case (Harish vs. Commissioner Of Food Safety) where the court modified the deposit requirement to Rs. 50,000 instead of 50% of the fine.

Court's reasoning
- The court noted the similarity of the current case to the previously mentioned case and recognized the petitioner's entitlement to the same relief.
- The court decided to modify the order of the District Judge to reduce the deposit amount.

Decision or judgment
- The court modified the order dated 27 April 2022, allowing the petitioner to deposit only Rs. 50,000 instead of 50% of the fine within one month.
- This deposit is subject to the final outcome of the appeal.",High Court of Judicature at Allahabad,['Adab'],['State Of U.P. And 4 Others'],['Prakash Padia'],09-05-2023,[],[],[],[],"['Harish vs. Commissioner Of Food Safety And Prin. Sec. Dept. Of Food Safety And Drug Administration And 3 Others', 'Harish vs. State']","The petitioner challenged an order from the District Judge Moradabad regarding a fine imposed by the Additional District Magistrate. The court modified the order to reduce the deposit requirement from 50% of the fine to Rs. 50,000, pending the outcome of the appeal.",Matters under Article 227,
Aditya_Birla_Retail_Ltd_Ludhiana_vs_Food_Safety_Officer_Ludhiana_on_14_March_2018.PDF,"Case overview
- The case is between M/s Aditya Birla Retail Limited, Ludhiana (Appellant) and The Food Safety Officer, Ludhiana (Respondent). 
- The judgement was delivered on March 14, 2018, by Hon'ble Mr. Justice Kuldip Singh in the High Court of Punjab and Haryana. 

Key facts
- The appeal challenges an order dated October 15, 2013, from the Adjudicating Officer-cum-ADC, Ludhiana, which imposed a penalty of ₹20,000 on the appellant under Section 51 of the Food Safety and Standards Act, 2006, for possessing artificially ripened bananas using Acetylene Gas (carbide gas). 
- The appeal also contests an order dated December 29, 2015, from the State Food Safety Appellate Tribunal, Punjab, which dismissed the appellant's appeal against the Adjudicating Officer's order. 

Legal issues and arguments
- The appellant's counsel argued that the bananas were purchased from Apex Fruit Seller, and that the seller should have been summoned before the Adjudicating Officer, implying that the appellant should not be held liable. 
- The appellant also contended that the use of Acetylene Gas in concentrations of 10-1000 ppm is permissible according to instructions from the Food Safety and Standards Authority of India dated August 13, 2010. 

Court's reasoning
- The court noted that the appellant did not raise the argument regarding the purchase from a wholesale dealer in the trial court, and thus could not introduce it at the appellate level. 
- The court stated that any application regarding the permissible use of carbide gas should have been made to the Adjudicating Officer, but such an application was filed and subsequently dismissed. 
- The Adjudicating Officer had found that the use of carbide gas for ripening bananas could lead to health issues, including mouth ulcers, gastric irritation, food poisoning, or cancer. 
- The court observed that there were concurrent findings from both lower courts, and there was no sufficient ground to interfere with their decisions. 

Decision or judgment
- The appeal was dismissed, and any pending miscellaneous applications were also disposed of.",High Court of Punjab and Haryana,"['M/s Aditya Birla Retail Limited, Ludhiana']","['The Food Safety Officer, Ludhiana']",['Kuldip Singh'],14-03-2018,[],"['Ludhiana', 'Chandigarh']","['Section 51 of the Food Safety and Standards Act, 2006']","['Food Safety and Standards Act, 2006']",[],"The appellant was penalized for possessing artificially ripened bananas using Acetylene Gas. The appeal against the penalty was dismissed by the State Food Safety Appellate Tribunal. The appellant argued that the bananas were purchased from a wholesale dealer and that the use of the gas was permissible within certain limits, but these arguments were not accepted as they were not raised in earlier proceedings.",Second Appeal,in favour of respondent
Agro_Tech_Foods_Limited_vs_The_State_Of_Rajasthan_on_27_May_2019.PDF,"Case overview: The case involves Agro Tech Foods Limited and Mr. Krishna Mohan Dubey as appellants against the State of Rajasthan and other respondents, concerning food safety regulations. The appeal was heard in the High Court of Judicature for Rajasthan at Jodhpur under Civil Misc. Appeal No. 1306/2019 on May 27, 2019.

Key facts: The appellants are a public limited company and its nominee, Mr. Dubey, with registered and corporate offices in Secunderabad and Gurgaon, and an operational office in Jaipur. The respondents include the State of Rajasthan through the Food Safety Officer, and other individuals associated with retail businesses in Nagaur.

Legal issues and arguments: The appellants filed an application (I.A. No. 01/2019) to dispense with the requirement of filing a certified copy of a previous order dated April 19, 2017, arguing that obtaining a fresh certified copy would take considerable time. The court considered the submission that a duly attested and notarized copy had already been filed before the Appellate Tribunal.

Court's reasoning: The court allowed the application to dispense with the certified copy requirement, overruling the office objection. The appeal was admitted, and the court noted that a similar appeal had previously been granted an interim order. The court issued notices for both the appeal and the stay application, making them returnable within four weeks.

Decision or judgment: The court stayed the effect and operation of the impugned order dated December 5, 2018, from the Food Safety Appellate Tribunal and the order dated April 19, 2017, from the Adjudicating Officer in Nagaur, until further orders. The case was connected with another pending appeal (Civil Misc. Appeal No. 2317/2017).",High Court of Judicature for Rajasthan at Jodhpur,"['Agro Tech Foods Limited', 'Mr. Krishna Mohan Dubey']","['The State Of Rajasthan', 'Narendra Kumawat', 'Paras Mal Jain', 'Mahesh Khanwani']",['Dinesh Mehta'],27-05-2019,"['Agro Tech Foods Limited', 'M/s Apricon Retail (India)', 'M/s Khushbu Agencies']","['Rajasthan', 'Nagaur', 'Jaipur', 'New Delhi']",[],[],['Agro Tech Foods Ltd & Anr Vs. State of Rajasthan & Anr.'],The appellants filed an application to dispense with the requirement of filing a certified copy of a previous order. The court allowed this request and stayed the operation of the impugned orders from the Food Safety Appellate Tribunal and the Adjudicating Officer.,Civil Misc. Appeal,
Akuthota_Narasimha_vs_The_State_Of_Telangana_on_22_June_2021.PDF,"Case overview
- The case is Akuthota Narasimha vs The State of Telangana, decided on 22 June 2021 by Justice T. Amarnath Goud in Writ Petition No. 13734 of 2021.

Key facts
- The petitioner, Akuthota Narasimha, challenged an order from respondent No. 2, which imposed a penalty of Rs. 1 lakh for violations related to tobacco sales.
- On 03 June 2021, respondent No. 3 inspected the petitioner's business and seized gunny bags containing V1 scented chewing tobacco worth Rs. 5,11,394, purchased from Sai Enterprises, Karnataka.
- The petitioner was informed on 05 June 2021 to pay a penalty of Rs. 1 lakh for conducting tobacco business.

Legal issues and arguments
- The petitioner argued that the penalty was illegal and arbitrary, claiming he had not violated any laws.
- The inspection by respondent No. 3 was conducted under Section 30(2)(e) of the Food Safety and Standards Act, 2006, and regulations 2.3.4 of the FSS (Prohibition and Restriction on Sales) Regulation 2011.
- The petitioner attended a personal hearing on 05 June 2021, requesting the release of the seized stock.

Court's reasoning
- The court noted that the seized products were identified as prohibited tobacco products, and the petitioner had not provided evidence to prove that the products were not prohibited.
- The court highlighted that the petitioner failed to apply for a sample testing at the Forensic Science Laboratory to contest the prohibition.
- The court emphasized that the petitioner did not utilize the alternative remedy available under the Food Safety Act by not appealing to the designated Food Safety Appellate Tribunal.
- The court stated that it could not adjudicate on the nature of the seized products under Article 226 of the Constitution of India.

Decision or judgment
- The writ petition was dismissed, with no order as to costs. Any pending miscellaneous petitions were also closed.",High Court of Telangana,['Akuthota Narasimha'],"['The State Of Telangana', 'respondent No.2', 'respondent No.3']",['Sri Justice T. Amarnath Goud'],22-06-2021,['Sai Enterprises'],"['Karnataka State', 'Nalgonda District']","['Section 30(2)(e) of Food Safety and Standards Act, 2006', 'regulations 2.3.4 of FSS (Prohibition and restriction on sales) Regulation 2011']","['Food Safety and Standards Act, 2006']",[],The petitioner challenged a penalty of Rs.1 lakh imposed for violating tobacco business regulations after a raid found prohibited tobacco products. The court noted the petitioner did not utilize the alternative remedy available under the Food Safety Act before approaching it.,Writ Petition,in favour of respondent
Alpeshbhai_Babubhai_Pathodiya_vs_State_Of_Gujarat_3_on_24_November_2017.PDF,"Case overview
- The case is titled Alpeshbhai Babubhai Pathodiya vs State Of Gujarat & 3, decided on 24 November 2017 in the High Court of Gujarat at Ahmedabad.

Key facts
- The applicant is Alpeshbhai Babubhai Pathodiya.
- The respondents include the State of Gujarat and three other parties, with the fourth being the Food Safety Appellate Tribunal.
- The matter involves a Civil Application for Condonation of Delay (C/CA/10124/2017) in relation to a First Appeal (Stamp Number 2167 of 2017).

Legal issues and arguments
- The applicant sought to condone the delay in filing the appeal.
- The arguments presented by the applicant's counsel, Mr. Suhail Z Saiyed, were considered during the proceedings.
- The learned AGP, Mr. Vishrut Jani, represented the respondents (Nos. 1 to 3).

Court's reasoning
- The court found the reasons stated in the application and those made during the arguments to be sufficient to justify the condonation of delay.

Decision or judgment
- The delay in filing the appeal was condoned, and the Civil Application was disposed of.
- The rule was made absolute.",High Court of Gujarat,['Alpeshbhai Babubhai Pathodiya'],"['State of Gujarat', 'Food Safety Appellate Tribunal']","['Akil Kureshi', 'A.Y. Kogje']",24-11-2017,[],"['Gujarat', 'Ahmedabad']",[],[],[],The applicant sought condonation of delay in filing a civil appeal. The court condoned the delay based on the reasons provided in the application and during the arguments.,Civil Application (for Condonation of Delay),in favour of appellant
Alpeshbhai_Babubhai_Pathodiya_vs_State_Of_Gujarat_on_4_December_2018.PDF,"Case overview
- The case involves Alpeshbhai Babubhai Pathodiya as the petitioner against the State of Gujarat.
- The judgement was delivered on December 4, 2018, by a bench consisting of Justice Mohinder Pal and Justice A.C. Rao.

Key facts
- The petitioner challenged an order dated September 24, 2015, from the Adjudicating Officer and Resident Additional Collector, Surendranagar, and an order dated March 28, 2017, from the Food Safety Appellate Tribunal, State of Gujarat.
- The petitioner was imposed a penalty of Rs. 2 Lacs for selling substandard edible oil.
- The incident leading to the penalty occurred on August 27, 2013, when a sample of edible oil was taken from the petitioner’s premises and found to be substandard after analysis.

Legal issues and arguments
- The petitioner argued that the authorities did not consider various factors as required under Section 49 of the Food Safety and Standards Act, 2006, when imposing the penalty.
- The petitioner contended that the authorities failed to consider the profit earned, the potential harm to health, the nature of the contravention, and the seller's intention.

Court's reasoning
- The court noted that the sample taken from the petitioner was indeed substandard and did not meet the specifications required under the Food Safety and Standards Act.
- The court found that the arguments presented by the petitioner had already been addressed by the authorities in the previous decisions.
- The court stated that no new grounds were raised in the petition that warranted interference with the authorities' findings.

Decision or judgment
- The appeal was dismissed, and the court upheld the penalty imposed on the petitioner.",High Court of Gujarat,['Alpeshbhai Babubhai Pathodiya'],['State of Gujarat'],"['Mohinder Pal', 'A.C. Rao']",04-12-2018,[],"['Gujarat', 'Ahmedabad', 'Surendranagar', 'Gandhinagar']","['Section 49 of Food Safety and Standards Act, 2006']","['Food Safety and Standards Act, 2006']",[],The petitioner challenged the penalty of Rs.2 Lacs imposed for substandard edible oil found during an inspection. The petitioner argued that the authorities did not consider various factors before imposing the penalty. The court found no reason to interfere with the authorities' findings and dismissed the appeal.,First Appeal,in favour of respondent
Amar_Kumar_Khabare_Amar_Khabare_vs_The_State_Of_Jharkhand_on_1_May_2019.PDF,"Case overview
- The case is Amar Kumar Khabare @ Amar Khabare vs The State of Jharkhand, decided on 1 May 2019 by the High Court of Jharkhand at Ranchi.
- The petitioner, Amar Kumar Khabare, challenged an order dated 21 May 2018 from the Deputy Commissioner of Deoghar, which imposed a penalty of Rs. 75,000 for selling sub-standard food articles (Khowa) under the Food Safety and Standards Act, 2006.

Key facts
- The petitioner argued that the order was made without following the provisions of Section 49 of the Food Safety and Standards Act, 2006, and specific rules under the Food Safety and Standards Rules, 2011.
- The petitioner claimed that the Deputy Commissioner acted solely on the recommendation of the Additional Chief Medical Officer.
- The State respondents contended that the order was valid and followed the statutory provisions.

Legal issues and arguments
- The petitioner raised issues regarding the failure to adhere to Section 49 and specific rules under the Food Safety and Standards Rules, 2011, arguing that the order lacked proper application of mind.
- The State argued that the Deputy Commissioner acted within jurisdiction and that the penalty was appropriate given the nature of the contravention.
- The petitioner cited previous court orders to support his claims.

Court's reasoning
- The court reviewed the objectives of the Food Safety and Standards Act, 2006, emphasizing the importance of food safety and the role of the Food Safety Authority.
- The court examined the procedures followed in collecting samples and the analysis conducted, confirming that the statutory requirements were met.
- The court noted that the nature of the food article (Khowa) made it difficult to quantify the loss or gain from the contravention, which justified the penalty imposed.
- However, the court acknowledged that the petitioner claimed this was the first offence and that the Deputy Commissioner did not consider the non-repetitive nature of the contravention when determining the penalty.

Decision or judgment
- The court found no error in the process leading to the finding of guilt but ordered the Deputy Commissioner to reassess the quantum of the penalty within two months, considering the non-repetitive nature of the contravention.
- The writ petition was disposed of with directions for further consideration by the Deputy Commissioner.",High Court of Jharkhand,['Amar Kumar Khabare @ Amar Khabare'],"['The State of Jharkhand', 'The Deputy Commissioner, Deoghar', 'The Additional Chief Medical Officer cum designated Officer, Deoghar', 'The Food Safety Officer, Deoghar']",['Sujit Narayan Prasad'],01-05-2019,[],"['Jharkhand', 'Deoghar']","['Section 3(J) of Food Safety and Standards Act, 2006', 'Section 3(L) of Food Safety and Standards Act, 2006', 'Section 36 of Food Safety and Standards Act, 2006', 'Section 37 of Food Safety and Standards Act, 2006', 'Section 38 of Food Safety and Standards Act, 2006', 'Section 41 of Food Safety and Standards Act, 2006', 'Section 42 of Food Safety and Standards Act, 2006', 'Section 47 of Food Safety and Standards Act, 2006', 'Section 49 of Food Safety and Standards Act, 2006', 'Section 52 of Food Safety and Standards Act, 2006', 'Section 70 of Food Safety and Standards Act, 2006']","['Food Safety and Standards Act, 2006', 'Food Safety and Standards Rules, 2011']","['Shri Bhagwan Naidu vs. The State of Jharkhand', 'M/s. Baba Dham Jal vs. The State of Jharkhand & Ors.']","The petitioner challenged the order imposing a penalty of Rs.75,000 for selling sub-standard food articles (Khowa). The petitioner argued that the order was made without following the proper procedures under the Food Safety and Standards Act, 2006 and the Food Safety and Standards Rules, 2011. The State contended that the order was valid and followed the statutory provisions. The court found that while the process was followed, the quantum of penalty needed reconsideration due to the lack of evidence of repetitive contraventions.",Writ Petition,"The Deputy Commissioner, Deoghar will take a fresh decision regarding the quantum of penalty."
Amir_Ahamad_vs_Commissioner_Of_Food_Safety_And_on_22_July_2022.PDF,"Case overview
- The case is titled Amir Ahamad vs Commissioner Of Food Safety and others, heard on 22 July 2022 in the High Court of Judicature at Allahabad.
- The petitioner is Amir Ahamad, and the respondents include the Commissioner of Food Safety and the Principal Secretary, among others.

Key facts
- The petitioner challenges an order dated 18 April 2022 from the District Judge, Moradabad, regarding Civil Appeal No. 39 of 2022.
- The District Judge admitted the appeal and granted a conditional stay, requiring the petitioner to deposit 50% of a fine imposed.
- The fine of Rs. 4,50,000 was imposed by the Additional District Magistrate (Administration) on 7 October 2020.

Legal issues and arguments
- The petitioner argues that the fine is excessive and that the Additional District Magistrate did not consider the petitioner's objections.
- The petitioner requests that the appeal be expedited.

Court's reasoning
- The court, presided by Hon'ble Vipin Chandra Dixit, considered the facts and circumstances without expressing an opinion on the merits of the case.
- The court directed the Food Safety Appellate Tribunal/District Judge, Moradabad, to expedite the appeal process, aiming for a decision within six months of receiving the certified copy of the order.
- The court emphasized the need for a hearing opportunity for both parties and discouraged unnecessary adjournments.

Decision or judgment
- The court modified the order from 18 April 2022, reducing the required deposit from 50% of the fine to Rs. 50,000, to be paid within one month, subject to the final outcome of the appeal.",High Court of Judicature at Allahabad,['Amir Ahamad'],"['Commissioner Of Food Safety', 'Principal Secretary', '3 Others']",['Vipin Chandra Dixit'],22-07-2022,[],['Moradabad'],[],[],[],"The petitioner, Amir Ahamad, challenged an order from the District Judge, Moradabad, which required him to deposit 50% of a fine imposed by the Additional District Magistrate. The fine was deemed excessive by the petitioner. The High Court directed the Food Safety Appellate Tribunal to expedite the appeal process and modified the deposit requirement to Rs. 50,000 instead of 50% of the fine.",Matters under Article 227,in favour of appellant
Amit_vs_The_State_Of_Madhya_Pradesh_on_21_April_2018.PDF,"Case overview
- The case is Amit vs The State Of Madhya Pradesh, heard on 21 April 2018 in the High Court of Madhya Pradesh, Indore Bench.

Key facts
- The case is registered as Criminal Appeal No. 67/2018.
- Smt. Swati Mehta represented the appellants.
- Shri Bhuvan Gautam appeared as the Government Advocate for the respondent, the State.

Legal issues and arguments
- The court heard the matter concerning the admission of the appeal.
- The Government Advocate accepted notice on behalf of the State, indicating no further notice was necessary.

Court's reasoning
- The court decided to admit the appeal and ordered the record of the Food Safety Appellate Tribunal to be requisitioned.
- The case was scheduled for final hearing under the caption ""DB- APPEAL AGAINST FINE - OTHER THAN"" in due course.

Decision or judgment
- The appeal was admitted, and the case was set for further proceedings.",High Court of Madhya Pradesh,['Amit'],['The State Of Madhya Pradesh'],"['P.K. Jaiswal', 'Virender Singh']",21-04-2018,[],"['Madhya Pradesh', 'Indore']",[],[],[],The case involves an appeal against a fine imposed by the Food Safety Appellate Tribunal. The court admitted the appeal and requisitioned the record from the tribunal for final hearing.,Criminal Appeal,
