,file_name,gpt extracted respondents,ner extracted respondents,true_positives,false_positives,false_negatives
0,Abhijeet_Suryakant_Maske_And_Anr_vs_The_State_Of_Maharashtra_on_1_March_2022.PDF,['the state of maharashtra'],"['dilip ramchandra maske', 'state of kerala', 'state of maharashtra']",0.0,1.0,3.0
1,Amluya_Anand_vs_State_on_8_March_2022.PDF,"['state, through vinod sharma, food safety officer']",['state'],0.0,1.0,1.0
2,Arulmurugan_Starch_Industries_vs_Food_Safety_And_Standards_Authority_Of_on_19_January_2022.PDF,"['commissioner of food safety', 'designated officer', 'food safety and standards authority of india']","['commissioner of food safety', 'commissioner of food safety,\n                        no.359, anna salai, v floor, dms office building,\n                        dms campus, teynampet, chennai 600 006', 'commissioner of food safety, no.359, anna salai', 'designated officer,\n                        food safety and drug administration,\n                        salem district, salem-1', 'food safety and standards', 'food safety and standards authority']",1.0,2.0,5.0
3,Arun_Raosaheb_Khot_vs_State_Of_Maharashtra_on_31_January_2022.PDF,['the state of maharashtra'],['state of maharashtra'],0.0,1.0,1.0
4,Asha_Singh_vs_The_State_Of_Bihar_on_24_March_2022.PDF,"['the state of bihar', 'the union of india through the c.b.i.,scb, patna bihar']","['state of bihar', 'union of india']",0.0,2.0,2.0
5,Avinash_Balkrishna_Bhamre_vs_State_Of_Maharashtra_on_8_March_2022.PDF,['the state of maharashtra'],['state of maharashtra'],0.0,1.0,1.0
6,Ayesha_Hajeera_Almas_vs_Chief_Secretary_on_15_March_2022.PDF,"['chaya shetty', 'chief secretary', 'dayananda d', 'district commissioner udupi district', 'dr usha naveen chandra', 'dr yadav', 'gangadhar sharma', 'government pu college for girls', 'prakash shetty', 'raghupathi bhat', 'rudrappa', 'rudre gowda', 'shalini nayak', 'state of karnataka', 'the director karnataka pre-university board', 'yashpal anand surana']","['central government', 'chief secretary', 'college betterment (development) committee', 'director\n       karnataka pre-university board\n       department of pre-university education\n       karnataka', 'district commissioner\n       udupi district\n       manipal\n       agumbe - udupi highway\n       eshwar nagar\n       manipal, karnataka-576104', 'government pu college for girls\n       behind syndicate bank\n       near harsha store\n       udupi\n       karnataka-576101', 'ijmaa', 'kwazulu-natal', 'qiyas', 'state of karnataka']",2.0,14.0,8.0
7,A_R_Starch_Products_vs_The_Commissioner_Of_Food_Safety_on_3_January_2022.PDF,"['chief executive officer, fssai', 'the additional district magistrate/adjudicating officer', 'the commissioner of food safety', 'the designated officer, (namakkal)', 'the food safety officer']","['1/6a.r.starch products', 'additional district magistrate/adjudicating officer,\n                       namakkal district,\n                       collectorate complex,\n                       thiruchengode road,\n                       namakkal –', 'additional district magistrate/adjudicating officer, namakkal district, collectorate complex,\nthiruchengode road, namakkal – 637 003', 'commissioner of food safety', 'commissioner of food safety, tamil nadu', 'designated officer, (namakkal)']",0.0,5.0,6.0
8,Badam_Sampath_Kumar_vs_State_Of_Odisha_Opp_Party_on_8_February_2022.PDF,['state of odisha'],['state of odisha'],1.0,0.0,0.0
9,Baswaraj_Vishwanath_Agre_vs_The_State_Of_Maharashtra_on_3_March_2022.PDF,['the state of maharashtra'],['state of maharashtra'],0.0,1.0,1.0
10,Bharat_Sukhdev_Dhobale_vs_The_State_Of_Maharashtra_on_21_February_2022.PDF,['the state of maharashtra'],['state of maharashtra'],0.0,1.0,1.0
11,Bijaya_Kumar_Kamani_vs_State_Of_Odisha_Opposite_Party_on_1_February_2022.PDF,['state of odisha'],['state of odisha'],1.0,0.0,0.0
12,Binod_Kumar_Agrawal_vs_State_Of_Odisha_Opp_Party_on_9_February_2022.PDF,['state of odisha'],['state of odisha'],1.0,0.0,0.0
13,Bose_Mathew_vs_The_State_Of_Kerala_on_4_March_2022.PDF,"['the food inspector, local health authority, changanacherry circle', 'the state of kerala']","['food inspector,\n             local health authority, changanacherry circle, changanacherry,\n             kottayam district-686 101', 'k.haripal', 'state of kerala']",0.0,2.0,3.0
14,Burra_Lingaiah_Yadav_vs_The_State_Of_Telangana_And_3_Others_on_10_February_2022.PDF,"['additional district collector', 'additional district magistrate, nalgonda district', 'adjudicating officer', 'the state of telangana']",['state of telangana'],0.0,4.0,1.0
